question_id,dimension,subcategory,question_text,question_type,time_limit_minutes,target_year_level,assessment_criteria_1,assessment_criteria_2,assessment_criteria_3,collaboration_indicator
hdd_001,hard_skills,devops_deployment,"Your web project needs to be deployed but your team has no deployment experience. How do you coordinate learning and implementing deployment?",deployment_learning,20,2-5,devops_coordination,collaborative_learning,deployment_management,medium
hdd_002,hard_skills,devops_deployment,"Your team's development environment setup is inconsistent across members. How do you standardize the development process?",environment_standardization,15,2-5,environment_management,process_standardization,team_coordination,medium
hdd_003,hard_skills,devops_deployment,"Your project needs version control best practices but team members have different Git experience levels. How do you establish standards?",version_control_standards,12,2-5,git_teaching,workflow_standardization,collaborative_practices,medium
hdd_004,hard_skills,devops_deployment,"Your application needs automated testing but your team is unfamiliar with testing frameworks. How do you introduce testing practices?",testing_introduction,18,2-5,testing_education,automation_concepts,quality_practices,medium
htq_001,hard_skills,testing_qa,"Your teammate doesn't understand why testing is important for your Qt project. How do you explain testing concepts and get them involved?",testing_education,12,2-5,testing_knowledge,educational_approach,quality_advocacy,medium
htq_002,hard_skills,testing_qa,"Your web project has bugs that only appear in certain browsers. How do you coordinate testing and debugging across your team?",cross_browser_testing,15,2-5,testing_coordination,debugging_collaboration,quality_assurance,medium
htq_003,hard_skills,testing_qa,"Your team's code has inconsistent quality with some modules well-tested and others not. How do you improve overall testing coverage?",testing_standardization,15,2-5,quality_standards,testing_coordination,coverage_improvement,medium
htq_004,hard_skills,testing_qa,"Your database project needs data validation but your team isn't sure how to test database operations. How do you approach this?",database_testing,18,3-5,database_testing_concepts,validation_strategies,collaborative_testing,medium
hma_001,hard_skills,mathematics_algorithms,"Your teammate struggles with the algorithm complexity concepts needed for your Java project. How do you explain these concepts clearly?",complexity_teaching,15,3-5,algorithmic_teaching,conceptual_explanation,patience_with_concepts,high
hma_002,hard_skills,mathematics_algorithms,"Your game project needs mathematical calculations for physics that one team member finds overwhelming. How do you help them understand and contribute?",mathematics_support,18,1-5,mathematical_teaching,physics_concepts,inclusive_problem_solving,high
hma_003,hard_skills,mathematics_algorithms,"Your web project needs data analysis algorithms but your team has limited statistics background. How do you approach this learning challenge?",statistics_learning,20,2-5,statistical_concepts,collaborative_learning,analytical_thinking,medium
hma_004,hard_skills,mathematics_algorithms,"Your database project requires optimization algorithms for query performance. How do you research and implement these with your team?",algorithm_research,18,3-5,algorithm_investigation,performance_optimization,collaborative_research,medium
